question,answers,id
where did dmitri mendeleev study science?,"[""Saint Petersburg State University"", ""Ruprecht Karl University of Heidelberg""]",49
what movie is josh hutcherson in?,"[""Cirque du Freak: The Vampire's Assistant"", ""The Hunger Games"", ""7 Days in Havana"", ""Journey to the Center of the Earth"", ""The Forger"", ""Detention"", ""Journey 2: The Mysterious Island"", ""Red Dawn"", ""The Third Rule"", ""The Kids Are All Right""]",50
what is there to do in laredo tx?,"[""Veterans Field"", ""San Augustin de Laredo Historic District"", ""Laredo Energy Arena"", ""Lake Casa Blanca"", ""Texas A&M International University Soccer Complex"", ""Fort McIntosh"", ""Southern Careers Institute, Laredo Campus"", ""Texas A&M International University"", ""Webb County Courthouse"", ""Nye""]",51
what season did tony soprano get shot?,"[""The Sopranos""]",52
where do the san francisco giants play home games?,"[""AT&T Park""]",53
what year did william jennings bryan run for president?,"[""1900 Democratic National Convention"", ""1908 Democratic National Convention"", ""1896 Democratic National Convention""]",54
what was the name of frederick douglass book?,"[""Narrative of the Life of Frederick Douglass, an American Slave""]",55
who was queen victoria's parents called?,"[""Prince Edward, Duke of Kent and Strathearn"", ""Princess Victoria of Saxe-Coburg-Saalfeld""]",56
what movies did sally field win an oscar for?,"[""Places in the Heart"", ""Sybil"", ""Norma Rae"", ""A Woman Of Independent Means"", ""A Cooler Climate"", ""Brothers & Sisters"", ""ER""]",57
what is the first book sherlock holmes appeared in?,"[""A Study in Scarlet""]",58
what type of car does michael weston drive?,"[""Wishcraft""]",59
where does lena river begin and end?,"[""Baikal Mountains""]",60
what countries do people speak portuguese?,"[""Brazil"", ""Canada"", ""Angola"", ""Portugal"", ""Macau"", ""Cape Verde"", ""Andorra"", ""Timor-Leste"", ""Guinea-Bissau"", ""Mozambique""]",61
where to exchange euros in pittsburgh?,"[""Allegheny County""]",62
what are the names of walt disney kids?,"[""Diane Disney Miller"", ""Sharon Mae Disney""]",63
who is in the band bush?,"[""Dave Parsons"", ""Gavin Rossdale"", ""Sacha Putnam"", ""Robin Goodridge"", ""Nigel Pulsford"", ""Corey Britz"", ""Chris Traynor""]",64
what was tupac name in juice?,"[""Bishop""]",65
what timezone is australia gmt?,"[""UTC+8""]",66
who does maggie grace play in taken?,"[""Kim""]",67
what style of music did louis armstrong play?,"[""Jazz""]",68
when is summer in australia sydney?,"[""City of Sydney""]",69
what tv show did joey lawrence play on?,"[""Blossom"", ""Melissa & Joey"", ""Bow"", ""Gimme a Break!"", ""Run of the House"", ""Brotherly Love""]",70
what timezone is denver co?,"[""Mountain Time Zone"", ""UTC−07:00""]",71
what character did brian austin green play on 90210?,"[""David Silver""]",72
where does jackie french live?,"[""Australia""]",73
what form of government was practiced in sparta?,"[""Monarchy"", ""Diarchy""]",74
when did the colorado rockies go to the world series?,"[""2007 National League Championship Series""]",75
who was peter parker's first girlfriend?,"[""Marvel Comics""]",76
what college did matt lauer attend?,"[""Ohio University""]",77
where to go in london england?,"[""Regent's Park"", ""Tower of London"", ""Buckingham Palace"", ""Palace of Westminster"", ""London Eye"", ""Tower Bridge"", ""Hyde Park"", ""Westminster Abbey"", ""St Paul's Cathedral"", ""Trafalgar Square""]",78
what school did joan miro attend?,"[""Cercle Artístic de Sant Lluc""]",79
where did france colonise?,"[""Réunion"", ""Saint Barthélemy"", ""Mayotte"", ""French Southern and Antarctic Lands"", ""New Caledonia"", ""Saint Pierre and Miquelon"", ""Collectivity of Saint Martin"", ""French Polynesia"", ""Martinique"", ""Guadeloupe""]",80
who was vincent van gogh inspired by?,"[""Jozef Israëls"", ""Paul Cézanne"", ""Anton Mauve"", ""Peter Paul Rubens"", ""Jean-François Millet"", ""Willem Roelofs"", ""Eugène Delacroix"", ""Claude Monet"", ""Rembrandt""]",81
where to get married in jacksonville nc?,"[""Atlantic Beach"", ""Jacksonville Beach"", ""Baldwin"", ""St. Johns River"", ""Masonic Temple"", ""Lewis Mausoleum"", ""EverBank Field"", ""Jacksonville Veterans Memorial Arena"", ""Morocco Temple"", ""El Modelo Block""]",82
what time zone am i in michigan?,"[""North American Eastern Time Zone""]",83
when did the new york knicks win a championship?,"[""1970 NBA Finals"", ""1973 NBA Finals""]",84
what is the official language of china 2010?,"[""Chinese language""]",85
what was woodrow wilson's major accomplishments?,"[""United States Secretary of Agriculture"", ""Governor of New Jersey"", ""President of the United States""]",86
where is jack daniels factory?,"[""Tennessee""]",87
what language do the speak in pakistan?,"[""English Language"", ""Urdu Language""]",88
where is santa clara university?,"[""United States of America"", ""California"", ""Santa Clara""]",89
which part of korea is communist?,"[""North Korea""]",90
where did timothy mcveigh go to prison?,"[""Terre Haute""]",91
what sea does the yangtze river flow into?,"[""East China Sea""]",92
who miley cyrus engaged to?,"[""Liam Hemsworth""]",93
what is charles darwin famous for?,"[""Evolution""]",94
who founded the roanoke settlement?,"[""Rainbow Bluff Expedition""]",95
what kind of money should i take to jamaica?,"[""Jamaican dollar""]",96
who is robert downey jr wife?,"[""Susan Downey""]",97
where do the ny rangers play?,"[""Madison Square Garden""]",98
where is jefferson davis buried?,"[""Hollywood Cemetery""]",99
who does the author stephenie meyer play in the movie twilight?,"[""Woman at Wedding""]",100
when will oscar pistorius compete?,"[""2012 Summer Olympics""]",101
what years have the dallas cowboys won the superbowl?,"[""Super Bowl XXVIII"", ""Super Bowl XXVII"", ""Super Bowl VI"", ""Super Bowl XXX"", ""Super Bowl XII""]",102
what awards has louis sachar won?,"[""National Book Award for Young People's Literature"", ""Anne V. Zarrow Award for Young Readers' Literature"", ""Dorothy Canfield Fisher Children's Book Award"", ""Newbery Medal""]",103
who are the current senators from missouri?,"[""Claire McCaskill""]",104
who was the president after jfk died?,"[""Lyndon B. Johnson""]",105
what is the best currency to take to egypt 2013?,"[""Egyptian pound""]",106
what are the countries in the united kingdom?,"[""Wales"", ""England"", ""Scotland"", ""Northern Ireland""]",107
what planes does the navy have?,"[""LTV A-7 Corsair II""]",108
where did benjamin franklin died?,"[""Philadelphia""]",109
where to visit in n. ireland?,"[""Antrim""]",110
what to do in cancun with family?,"[""Belize Barrier Reef"", ""Ik Kil"", ""Isla Contoy"", ""Xcaret Park"", ""Chichen Itza"", ""Xel-Ha Park"", ""Sistema Dos Ojos"", ""Coba"", ""Delphinus Dreams"", ""Cancun Underwater Museum""]",111
what is the local language of israel?,"[""Hebrew Language""]",112
what city and state was the air force academy established?,"[""El Paso County"", ""United States of America"", ""Colorado"", ""Colorado Springs""]",113
what's the national sport of puerto rico?,"[""Puerto Rico men's national volleyball team"", ""Puerto Rico women's national volleyball team"", ""Puerto Rico national football team""]",114
what religion are people in russia?,"[""Russian Orthodox Church"", ""Islam""]",115
what did shawnee smith play in?,"[""The Grudge 3"", ""Saw IV"", ""Summer School"", ""Saw II"", ""Saw III"", ""The Island"", ""Saw"", ""The Blob"", ""Who's Harry Crumb?""]",116
what countries did queen victoria reign over?,"[""United Kingdom""]",117
where did dr seuss go to school?,"[""Dartmouth College"", ""University of Oxford"", ""Lincoln College, Oxford""]",118
what team does luis suarez play for?,"[""Liverpool F.C.""]",119
what are dollars called in spain?,"[""Peseta""]",120
who plays meg in family guy?,"[""Mila Kunis""]",121
what high school did tim allen go to?,"[""Seaholm High School""]",122
what is the world's tallest building in dubai called?,"[""Burj Khalifa""]",123
where does asiana airlines fly to?,"[""John F. Kennedy International Airport"", ""Sydney Airport""]",124
what movie did angelina jolie direct?,"[""In the Land of Blood and Honey"", ""A Place in Time""]",125
where did martin luther king got shot?,"[""Memphis""]",126
where to visit near bangkok?,"[""MRT Blue Line"", ""Wat Benchamabophit"", ""Grand Palace"", ""Ananta Samakhom Throne Hall"", ""Wat Saket"", ""Khaosan Road"", ""Bangkok National Museum"", ""Samutprakarn Crocodile Farm and Zoo"", ""Wat Pho"", ""Wat Arun""]",127
who does christina milian have a baby by?,"[""The-Dream""]",128
what year did tut became king?,"[""Eighteenth Dynasty of Egypt""]",129
who is the current president of the dominican republic in 2010?,"[""Leonel Fernández""]",130
who has been married to julia roberts?,"[""Daniel Moder"", ""Lyle Lovett""]",131
where do baltimore ravens play?,"[""M&T Bank Stadium""]",132
where does the un get its funding?,"[""United Nations Security Council""]",133
who does brandon dubinsky play for?,"[""New York Rangers""]",134
who all has dated taylor swift?,"[""Harry Styles""]",135
what is the dominant language in israel?,"[""Hebrew Language""]",136
what are the main languages of nigeria?,"[""Ibibio Language"", ""Efik Language"", ""Hausa Language"", ""English Language"", ""Idoma Language"", ""Igbo Language"", ""Fula language"", ""Naki Language"", ""Yoruba Language"", ""Izon Language""]",137
what jobs did ben franklin do?,"[""Diplomat"", ""Statesman"", ""Politician"", ""Political activist"", ""Author"", ""Writer"", ""Printer"", ""Scientist"", ""Librarian"", ""Inventor""]",138
what bible does the catholic church follow?,"[""Book of Nehemiah"", ""The Bible"", ""New Testament"", ""Old Testament""]",139
who plays lola bunny in the looney tunes show?,"[""Britt McKillip"", ""Kath Soucie""]",140
what stadium did the chicago cardinals play in?,"[""University of Phoenix Stadium""]",141
who did rufus wainwright married?,"[""Jörn Weisbrodt""]",142
where did c.s. lewis go to college?,"[""Malvern College"", ""Campbell College"", ""University of Oxford"", ""University College, Oxford""]",143
what did nick clegg study at university?,"[""Political philosophy"", ""Social anthropology""]",144
who is the president of the european union 2011?,"[""Jerzy Buzek""]",145
what school did cassie bernall go to?,"[""Columbine High School""]",146
what movie did james frey write?,"[""Sugar: The Fall of the West"", ""Kissing a Fool""]",147
what did rob kardashian get surgery for?,"[""Appendicitis""]",148
what did st. matthew do?,"[""The Gospel According to Matthew""]",149
when does harry potter come out on dvd deathly hallows 2?,"[""The gospel according to Harry Potter""]",150
what was nelson mandela's religion?,"[""Methodism""]",151
who will win the 2011 nhl stanley cup?,"[""Canada""]",152
what is henry clay known for?,"[""Lawyer""]",153
who did axl rose marry?,"[""Erin Everly""]",154
what years did brett favre go to the super bowl?,"[""1995 NFL season"", ""1996 NFL season"", ""1997 NFL season""]",155
what is the money of spain called?,"[""Euro""]",156
where are sunbeam microwaves made?,"[""Florida""]",157
who was elected president of the philippines?,"[""Carlos P. Garcia"", ""Corazon Aquino"", ""Diosdado Macapagal"", ""Gloria Macapagal-Arroyo"", ""Fidel V. Ramos"", ""Elpidio Quirino"", ""Ramon Magsaysay"", ""Ferdinand Marcos"", ""Sergio Osmeña"", ""Joseph Estrada""]",158
what cities does ryanair fly to?,"[""Bergamo"", ""Derry"", ""Oslo"", ""Cork"", ""Dublin"", ""Barcelona"", ""Bratislava"", ""Nottingham"", ""Alicante"", ""London"", ""Stockholm"", ""Carcassonne"", ""Faro""]",159
what time zone is oklahoma state?,"[""Central Time Zone"", ""UTC−06:00""]",160
who was the apostle paul considered to be?,"[""Paul of Tarsus""]",161
what currency does ontario canada use?,"[""Canadian dollar""]",162
what instrument does justin bieber?,"[""guitar"", ""Piano"", ""trumpet"", ""Drums""]",163
what team did shaq play for first?,"[""Orlando Magic""]",164
where was kennedy when he got shot?,"[""Dallas""]",165
who do derek fisher play for?,"[""Los Angeles Lakers""]",166
where did the casey anthony case take place?,"[""Orlando""]",167
where did pres clinton go to college?,"[""University College, Oxford"", ""Ramble Elementary"", ""Yale Law School"", ""Hot Springs High School"", ""Georgetown University Law Center"", ""Edmund A. Walsh School of Foreign Service"", ""St. John's Catholic Elementary School""]",168
what was the name of the original seattle baseball team?,"[""Seattle Mariners""]",169
who was general cornwallis american revolution?,"[""British Army""]",170
what type of monarchy did england have?,"[""Constitutional monarchy""]",171
when were the texas rangers started?,"[""1972""]",172
where did the houston oilers football team go?,"[""Tennessee Titans""]",173
what do they call football in spanish?,"[""XHVG-FM""]",174
where did pauley perrette go to college?,"[""Valdosta State University""]",175
where does niles crane live?,"[""Seattle""]",176
where was gabriel faure born?,"[""France""]",177
who is the governor of kentucky 2012?,"[""Steve Beshear""]",178
who is the senator of the united states 2010?,"[""Jefferson Sessions""]",179
where did the massive allied invasion of northern france take place in june 1944?,"[""Normandy""]",180
which countries are part of the united kingdom?,"[""Eurasia"", ""Western Europe"", ""United Kingdom, with Dependencies and Territories""]",181
what is the postcode for london?,"[""E15 4HT"", ""W1F 0HS"", ""W11 3JS"", ""E5 8BP"", ""SW1P 2PD"", ""NW1 3HB"", ""E6 6ER"", ""W1W5BD"", ""WC1X 8RA"", ""SE1 7JW""]",182
who killed vincent chin dvd?,"[""Ronald Ebens"", ""Michael Nitz""]",183
what other books did jules verne wrote?,"[""Off on a Comet"", ""Five Weeks in a Balloon"", ""Gil Braltar"", ""Paris in the Twentieth Century"", ""The Child of the Cavern"", ""Tribulations of a Chinaman in China"", ""The Mysterious Island"", ""The Adventures of Captain Hatteras"", ""Facing the Flag"", ""The Begum's Fortune""]",184
what is the currency name of brazil?,"[""Brazilian real""]",185
what language does fiji?,"[""Fiji Hindi"", ""English Language"", ""Fijian Language""]",186
what is the second percy jackson book called?,"[""The Sea of Monsters""]",187
what did gregor mendel conducted his experiments on?,"[""Experiments in plant hybridisation""]",188
who did jon gosselin cheat with?,"[""Deanna Hummel""]",189
where is mitsubishi headquarters?,"[""Tokyo""]",190
where is jay cutler now?,"[""Chicago Bears""]",191
what are eu countries?,"[""Czech Republic"", ""Estonia"", ""Denmark"", ""Finland"", ""France"", ""Austria"", ""Germany"", ""Belgium"", ""Cyprus"", ""Bulgaria""]",192
what influenced vincent van gogh work?,"[""Jozef Israëls"", ""Paul Cézanne"", ""Anton Mauve"", ""Peter Paul Rubens"", ""Jean-François Millet"", ""Willem Roelofs"", ""Eugène Delacroix"", ""Claude Monet"", ""Rembrandt""]",193
what time zones are there in the us?,"[""North American Eastern Time Zone"", ""UTC−06:00"", ""Mountain Time Zone"", ""Hawaii–Aleutian Time Zone"", ""Pacific Time Zone"", ""Samoa Time Zone"", ""Alaska Time Zone"", ""UTC-5"", ""Atlantic Time Zone"", ""Central Time Zone""]",194
what are the 5 biggest cities in the usa?,"[""New York""]",195
what language do australian people speak?,"[""Lojban"", ""Esperanto Language"", ""English Language""]",196
who did ben stiller play in megamind?,"[""Bernard""]",197
what countries did queen victoria rule?,"[""United Kingdom"", ""British Raj""]",198
who are betty white's parents?,"[""Tess Curtis Cachikis"", ""Horace Lawrence White""]",199
where did jeff dunham go to school?,"[""Baylor University""]",200
what college did kevjumba?,"[""University of California, Davis""]",201
who does david james play for 2011?,"[""Bristol City F.C.""]",202
what was the purpose of the 1964 gulf of tonkin resolution?,"[""Yen Bai mutiny""]",203
what movies did diana ross play in?,"[""The Wiz""]",204
what is the zip code for minneapolis?,"[""55406"", ""55407"", ""55409"", ""55408"", ""55410"", ""55411"", ""55405"", ""55403"", ""55402"", ""55401""]",205
what country is the west bank located in?,"[""Palestinian National Authority""]",206
who won golden boot?,"[""Lionel Messi""]",207
where did jane mansfield die?,"[""Slidell""]",208
where is the thames river located?,"[""London""]",209
when did kings last win stanley cup?,"[""2012 Stanley Cup Finals""]",210
what school did william shakespeare attend?,"[""King Edward VI School, Stratford-upon-Avon""]",211
what money do they use in chile?,"[""Chilean peso""]",212
what college did peyton manning?,"[""University of Tennessee""]",213
what are the 2 conferences in the nfl?,"[""National Football Conference"", ""NFL Films"", ""American Football Conference""]",214
when did jennifer lopez start on in living color?,"[""In Living Color (Season 4)""]",215
when is portland marathon?,"[""Zora Lancaster""]",216
what character does ellen play in finding nemo?,"[""Dory""]",217
when was the last time the ny giants were in the super bowl?,"[""Super Bowl XXV""]",218
what are all the names of harry potter?,"[""Harry Potter and the Half-Blood Prince"", ""Harry Potter and the Deathly Hallows"", ""Harry Potter and the Goblet of Fire"", ""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Chamber of Secrets"", ""Harry Potter and the Order of the Phoenix"", ""Harry Potter and the Prisoner of Azkaban""]",219
what does nick cannon play in?,"[""The Nightlife"", ""Up All Night"", ""Soul Train"", ""All That"", ""Short Circuitz"", ""Wild 'n Out"", ""The Nick Cannon Show"", ""Mash Up"", ""America's Got Talent""]",220
what sort of government does brazil have?,"[""Constitutional republic"", ""Presidential system"", ""Federal republic""]",221
which airport is best to fly into milan?,"[""Il Caravaggio International Airport"", ""Malpensa Airport"", ""Linate Airport""]",222
where did matthias schleiden go to school?,"[""Ruprecht Karl University of Heidelberg""]",223
what county is rihanna from?,"[""Saint Michael Parish"", ""Barbados""]",224
what happened to daddy yankee?,"[""Gunshot""]",225
what country is located in the balkan peninsula?,"[""Lake Prespa"", ""Kosovo"", ""Republic of Macedonia"", ""Montenegro"", ""Macedonia"", ""Kingdom of Serbia"", ""Albania"", ""Federal Republic of Yugoslavia"", ""Small Prespa Lake"", ""Republic of Serbian Krajina Government in Exile""]",226
what 6 states border south dakota?,"[""Iowa"", ""North Dakota"", ""Wyoming"", ""Minnesota"", ""Nebraska"", ""Montana""]",227
what are the main languages spoken in spain?,"[""Spanish Language""]",228
what songs did mozart write?,"[""1034 Mozartia""]",229
what language do they speak in thai?,"[""Tai–Kadai languages""]",230
who is the new senator of montana?,"[""Jon Tester""]",231
which airport to fly in rome?,"[""Ciampino – G.B. Pastine International Airport"", ""Rome Viterbo Airport"", ""Italian Met Office Airport"", ""Leonardo da Vinci–Fiumicino Airport"", ""Urbe Airport""]",232
where are the ruins of pompeii?,"[""Pompeii and the Roman Villa: Art and Culture around the Bay of Naples""]",233
what language people speak in afghanistan?,"[""Pashto language"", ""Farsi, Eastern Language""]",234
what language do people speak in brazil wikipedia?,"[""Brazilian Portuguese"", ""Portuguese Language"", ""Italian Language""]",235
what cities should i visit in california?,"[""Colusa County"", ""San Bernardino County"", ""Contra Costa County"", ""El Dorado County"", ""Alameda County"", ""Calaveras County"", ""Del Norte County"", ""Alpine County"", ""Amador County"", ""Rancho Cucamonga""]",236
where was princess leia raised?,"[""Polis Massa""]",237
what is the name of the pittsburgh steelers head coach?,"[""Mike Tomlin""]",238
when does canada's wonderland close?,"[""Émilie Heymans"", ""Blythe Hartley""]",239
when did the lakers win the championship?,"[""1985 NBA Finals"", ""1948 NBL Finals"", ""1954 NBA Finals"", ""1972 NBA Finals"", ""1949 BAA Finals"", ""1952 NBA Finals"", ""1980 NBA Finals"", ""1950 NBA Finals"", ""1953 NBA Finals"", ""1982 NBA Finals""]",240
what year was the great san francisco fire?,"[""1906 San Francisco earthquake""]",241
what countries share borders with france?,"[""Italy"", ""Monaco"", ""Luxembourg"", ""Andorra"", ""Switzerland"", ""Germany"", ""Bay of Biscay"", ""Belgium"", ""Piedmont"", ""Spain""]",242
what did patrick swayze sing?,"[""She's Like The Wind""]",243
what style of art is salvador dali?,"[""Painting"", ""Photography"", ""Sculpture"", ""Drawing""]",244
what city was leonardo da vinci from?,"[""Vinci""]",245
what did george v die of?,"[""Euthanasia""]",246
what are the three major rivers in south america?,"[""Yisrael Mordecai Safeek""]",247
what other discoveries did isaac newton discover?,"[""Reflecting telescope""]",248
who started pixar?,"[""Edwin Catmull"", ""Steve Jobs""]",249
who is tia and tamera mowry parents?,"[""Darlene Mowry"", ""Timothy Mowry""]",250
what political party was lincoln?,"[""Illinois Republican Party"", ""Republican Party"", ""National Union Party"", ""Whig Party""]",251
what would have happened if germany had won ww1?,"[""de""]",252
what kind of government is china?,"[""Single-party state"", ""Communist state"", ""Socialist state""]",253
where is the nation of greece located?,"[""Europe"", ""Eurasia"", ""Southeast Europe""]",254
what three countries does mexico border?,"[""Pacific Ocean"", ""Gulf of California"", ""Contiguous United States"", ""Caribbean Sea"", ""United States of America"", ""Gulf of Mexico"", ""Guatemala"", ""California"", ""Sea of Cortéz"", ""Belize""]",255
what year was the new york blackout?,"[""New York City blackout of 1977""]",256
which countries have english as native language?,"[""Canada"", ""Australia"", ""Kingdom of Great Britain"", ""United States of America"", ""United Kingdom"", ""Ireland"", ""New Zealand""]",257
what position does rafael furcal play?,"[""Second baseman"", ""Shortstop""]",258
what are major exports of the usa?,"[""Pharmaceutical Preparations"", ""Food"", ""Industrial Organic Chemicals, NEC"", ""Automobile""]",259
what shows did kellie martin star in?,"[""A Pup Named Scooby-Doo"", ""Crisis Center"", ""Father Murphy"", ""Life Goes On"", ""Christy""]",260
where did rihanna grow up?,"[""Saint Michael Parish"", ""Barbados""]",261
where is whistler mountain located?,"[""British Columbia""]",262
what currency do i need in cuba?,"[""Cuban peso"", ""Cuban convertible peso""]",263
what country did james cook come from?,"[""Kingdom of Great Britain""]",264
who is julia roberts married to 2012?,"[""Daniel Moder""]",265
what sport does rebecca adlington compete in?,"[""Swimming""]",266
when did the christchurch quake happened?,"[""2011 Christchurch earthquake""]",267
what other countries does canada trade with?,"[""United Kingdom"", ""Japan"", ""United States of America""]",268
what to see in singapore at night?,"[""Kampung Days"", ""Tiger Sky Tower"", ""Singapore Zoo"", ""Telok Ayer Market"", ""Former Saint Joseph's Institution"", ""Armenian Church, Singapore"", ""Singapore Flyer"", ""Kong Meng San Phor Kark See Monastery"", ""Sri Mariamman Temple, Singapore"", ""Jurong BirdPark""]",269
who played mason capwell?,"[""Nancy Lee Grahn""]",270
what is james madison most famous for?,"[""President of the United States""]",271
who did the maccabees revolted against?,"[""Seleucid Empire""]",272
where was the battle of antietam creek?,"[""Pennsylvania"", ""Maryland""]",273
during what war did abraham lincoln serve as president?,"[""American Civil War""]",274
who are shakespeare's parents names?,"[""John Shakespeare"", ""Mary Shakespeare""]",275
where is she from shakira?,"[""Colombia""]",276
who plays captain kirk in 2009?,"[""Chris Pine""]",277
who did hera marry?,"[""Zeus""]",278
what type of guitar does kirk hammett play?,"[""guitar"", ""Sitar"", ""Bass guitar""]",279
what language they speak in the philippines?,"[""Filipino language"", ""English Language""]",280
where is the kakadu national park located?,"[""Northern Territory""]",281
what to do with kids in denver today?,"[""Black American West Museum & Heritage Center"", ""Denver Firefighters Museum"", ""Colorado State Capitol"", ""Denver Mint"", ""Molly Brown House"", ""Forney Transportation Museum"", ""Denver Botanic Gardens"", ""Museum of Contemporary Art Denver"", ""Denver Museum of Nature and Science"", ""Chamberlin Observatory""]",282
what money does jamaica use?,"[""Jamaican dollar""]",283
what year did william mckinley became president?,"[""1897""]",284
what date did kennedy become president?,"[""1/3/1947""]",285
what timezone is colorado in right now?,"[""Mountain Time Zone"", ""UTC−07:00""]",286
who owns aston martin 2012?,"[""David Richards""]",287
what disease has jack osbourne got?,"[""Multiple sclerosis""]",288
what do the islamic believe?,"[""Muslims""]",289
who will david beckham play for in 2013?,"[""Paris Saint-Germain F.C.""]",290
what language they speak in taiwan?,"[""Standard Mandarin""]",291
who owns the toronto maple leafs?,"[""Maple Leaf Sports & Entertainment""]",292
what county is novato california in?,"[""Marin County""]",293
what are the basic beliefs of sikhism?,"[""Saṃsāra"", ""Dharma"", ""Reincarnation"", ""Monotheism"", ""Karma"", ""Pyaar""]",294
where did hernando cortez die?,"[""Castilleja de la Cuesta""]",295
who was liz taylor married too?,"[""Richard Burton""]",296
where was the ancient region of mesopotamia?,"[""Middle East""]",297
who was real housewives brandi married to?,"[""Eddie Cibrian""]",298
when did the charlotte bobcats first play in the nba?,"[""2004 NBA Draft""]",299
what's the book hitler wrote in prison?,"[""Mein Kampf""]",300
where is the ottoman empire located?,"[""Near East""]",301
which city held the summer olympics twice?,"[""Olympic games""]",302
who are the green bay packers owned by?,"[""Green Bay Packers Board of Directors""]",303
what inspired langston hughes to write poetry?,"[""Walt Whitman""]",304
what languages are there in switzerland?,"[""Romansh language"", ""French Language"", ""German Language"", ""Italian Language""]",305
when was the last time the orioles had a winning season?,"[""1983 World Series""]",306
what does australia export?,"[""Energy"", ""Agriculture""]",307
where did henry knox die?,"[""Thomaston""]",308
who was the queen of the iceni tribe?,"[""Boudica""]",309
what is the name of the first prophet of islam?,"[""Muhammad""]",310
who is married to garry trudeau?,"[""Jane Pauley""]",311
where does norway get their oil?,"[""Barents Euro-Arctic Council""]",312
what language do they speak in northern ireland?,"[""Irish"", ""English Language"", ""Ulster Scots dialects""]",313
what countries make up continental europe?,"[""United Kingdom"", ""Albania"", ""Finland"", ""San Marino"", ""France"", ""Andorra"", ""Liechtenstein"", ""Georgia"", ""Germany"", ""Belgium""]",314
what do abrahamic religions have in common?,"[""Monotheism""]",315
